month_start,month_label,active_customers,arr,billed_amount,closing_mrr,failed_payment_exposure,gross_revenue_retention,churned_customers,net_new_mrr,net_revenue_retention,reconciliation_variance,exception_count
2023-01-01,2023-01,17.0,656919.0,54743.25,54743.25,0.0,,0.0,54743.25,,0.0,969.0
2023-02-01,2023-02,55.0,2080540.8,173378.4,173378.4,32709.15,1.0,0.0,118635.15,1.0,0.0,969.0
2023-03-01,2023-03,83.0,2600002.32,216666.86,216666.86,468.0,0.9606828186210047,0.0,43288.46,0.9785374648745173,0.0,969.0
2023-04-01,2023-04,113.0,3201125.16,266760.43,266760.43,5270.05,0.9981769247036671,0.0,50093.57,1.0000743999336126,0.0,969.0
2023-05-01,2023-05,141.0,4105010.4,342084.2,342084.2,18811.36,0.9984267156864307,0.0,75323.77,1.0099674453216319,0.0,969.0
2023-06-01,2023-06,160.0,4426087.92,368840.66,368840.66,23521.25,0.9912118127642259,0.0,26756.46,0.9986763785056426,0.0,969.0
2023-07-01,2023-07,191.0,5082390.96,423532.58,423532.58,18747.11,0.9996193478235291,0.0,54691.92,1.005198504958754,0.0,969.0
2023-08-01,2023-08,220.0,5821220.28,485101.69,485101.69,25559.57,0.9989862645277489,0.0,61569.11,1.0126407276625566,0.0,969.0
2023-09-01,2023-09,242.0,6327886.92,527323.91,527323.91,11650.65,0.9976443289653351,0.0,42222.22,1.0137808631423237,0.0,969.0
2023-10-01,2023-10,265.0,6788165.16,575330.68,565680.43,5875.3,0.9789961923023743,2.0,38356.52,0.9826971054659743,0.0,969.0
2023-11-01,2023-11,280.0,7213604.88,602450.79,601133.74,7580.21,0.9967114824884432,2.0,35453.31,1.0083566794064274,0.0,969.0
2023-12-01,2023-12,306.0,7529761.44,628549.58,627480.12,47237.9,0.9878182349238956,1.0,26346.38,0.9918304868397505,0.0,969.0
2024-01-01,2024-01,342.0,8735924.04,728305.67,727993.67,17675.35,0.9973301146178144,1.0,100513.55,1.0113349407786816,0.0,969.0
2024-02-01,2024-02,370.0,10103772.36,853639.82,841981.03,5954.35,0.982234639485258,5.0,113987.36,1.0084109385181879,0.0,969.0
2024-03-01,2024-03,397.0,11091564.48,925774.34,924297.04,40420.61,0.9973000579359845,1.0,82316.01,1.0155077840649214,0.0,969.0
2024-04-01,2024-04,425.0,11429893.56,963303.41,952491.13,42702.45,0.987917141874651,2.0,28194.09,0.9937869432103774,0.0,969.0
2024-05-01,2024-05,459.0,12395441.52,1035296.08,1032953.46,35837.81,0.9920436844383003,2.0,80462.33,1.0029938651502193,0.0,969.0
2024-06-01,2024-06,479.0,12801089.04,1078369.33,1066757.42,14232.1,0.9853480233272078,5.0,33803.96,0.9967144792757653,0.0,969.0
2024-07-01,2024-07,515.0,13581301.56,1135310.41,1131775.13,47251.57,0.9956299624332587,2.0,65017.71,1.0119523049579537,0.0,969.0
2024-08-01,2024-08,542.0,14385001.32,1202222.15,1198750.11,21586.55,0.9940779402000114,4.0,66974.98,1.0058227821281072,0.0,969.0
2024-09-01,2024-09,567.0,15471627.48,1306283.29,1289302.29,39746.27,0.9850936238913046,3.0,90552.18,0.9935605678484567,0.0,969.0
2024-10-01,2024-10,596.0,15996394.44,1344199.42,1333032.87,28544.84,0.9838376692870063,6.0,43730.58,0.9886932489664623,0.0,969.0
2024-11-01,2024-11,615.0,16832822.88,1420028.91,1402735.24,65218.59,0.9801148564326099,8.0,69702.37,0.9900949329178957,0.0,969.0
2024-12-01,2024-12,639.0,17623184.88,1493864.67,1468598.74,54864.68,0.9777996879867366,4.0,65863.5,0.9895289933686987,0.0,969.0
2025-01-01,2025-01,657.0,18333103.68,1533417.45,1527758.64,50642.79,0.9915985492402097,7.0,59159.9,1.0019227171609857,0.0,969.0
2025-02-01,2025-02,669.0,18857461.2,1574017.04,1571455.1,57509.58,0.993773420911565,4.0,43696.46,1.0057210673015733,0.0,969.0
2025-03-01,2025-03,685.0,19805516.52,1658505.19,1650459.71,106300.19,0.9948963161594625,8.0,79004.61,1.0089062741913528,0.0,969.0
2025-04-01,2025-04,700.0,20365450.08,1700831.06,1697120.84,77733.11,0.9887573989915815,7.0,46661.13,0.9972324862144015,0.0,969.0
2025-05-01,2025-05,735.0,21483789.96,1794919.85,1790315.83,86492.09,0.994580491981938,7.0,93194.99,1.0015267268770325,0.0,969.0
2025-06-01,2025-06,755.0,22098252.0,1882383.45,1841521.0,30372.34,0.9759588396199346,9.0,51205.17,0.9834840425892899,0.0,969.0
2025-07-01,2025-07,783.0,23244852.36,1940601.77,1937071.03,68509.17,0.9949835000524023,5.0,95550.03,1.0020365665121385,0.0,969.0
2025-08-01,2025-08,811.0,24045324.48,2005283.94,2003777.04,80215.72,0.9967828799752376,2.0,66706.01,1.0061847035108464,0.0,969.0
2025-09-01,2025-09,824.0,24606082.44,2054667.38,2050506.87,93846.33,0.9941501575444741,6.0,46729.83,1.0013939325305374,0.0,969.0
2025-10-01,2025-10,846.0,25471380.6,2130279.09,2122615.05,111221.75,0.9911813658054215,9.0,72108.18,1.0045191411623995,0.0,969.0
2025-11-01,2025-11,860.0,26091799.68,2176914.53,2174316.64,33650.92,0.9952295400901828,4.0,51701.59,1.0055493057961689,0.0,969.0
2025-12-01,2025-12,756.0,22977031.44,2259102.98,1914752.62,53721.83,0.8445352191206152,129.0,-259564.02,0.8525110997632801,0.0,969.0
