cohort_month,months_since_start,cohort_customers,active_customers,logo_retention,net_dollar_retention
2023-01-01,0,17,17,1.0,1.0
2023-01-01,1,17,17,1.0,1.0
2023-01-01,2,17,17,1.0,1.047059865828207
2023-01-01,3,17,17,1.0,1.047059865828207
2023-01-01,4,17,17,1.0,1.047059865828207
2023-01-01,5,17,17,1.0,1.000108871870048
2023-01-01,6,17,17,1.0,0.9983457321222251
2023-01-01,7,17,17,1.0,1.0038295132276582
2023-01-01,8,17,17,1.0,1.0056808830312414
2023-01-01,9,17,17,1.0,1.006359140167966
2023-01-01,10,17,17,1.0,1.0780892621464746
2023-01-01,11,17,17,1.0,1.0780892621464746
2023-01-01,12,17,17,1.0,1.0810814118635632
2023-01-01,13,17,17,1.0,1.0810814118635632
2023-01-01,14,17,17,1.0,1.0810814118635632
2023-01-01,15,17,16,0.9411764705882353,0.9312669598534979
2023-01-01,16,17,16,0.9411764705882353,0.9399040064300165
2023-01-01,17,17,15,0.8823529411764706,0.9302633658030899
2023-01-01,18,17,14,0.8235294117647058,0.9176506692605938
2023-01-01,19,17,13,0.7647058823529411,0.8843366077096263
2023-01-01,20,17,13,0.7647058823529411,0.8838603846136281
2023-01-01,21,17,13,0.7647058823529411,0.8904986459517841
2023-01-01,22,17,13,0.7647058823529411,0.8282562690377353
2023-01-01,23,17,12,0.7058823529411765,0.8237680444621026
2023-01-01,24,17,12,0.7058823529411765,0.8298290656838971
2023-01-01,25,17,12,0.7058823529411765,0.8298290656838971
2023-01-01,26,17,12,0.7058823529411765,0.8298290656838971
2023-01-01,27,17,12,0.7058823529411765,0.871472555977221
2023-01-01,28,17,12,0.7058823529411765,0.871472555977221
2023-01-01,29,17,12,0.7058823529411765,0.871472555977221
2023-01-01,30,17,11,0.6470588235294118,0.8314957551844291
2023-01-01,31,17,11,0.6470588235294118,0.8314957551844291
2023-01-01,32,17,10,0.5882352941176471,0.7527956414717797
2023-01-01,33,17,10,0.5882352941176471,0.7547030912486928
2023-01-01,34,17,10,0.5882352941176471,0.7464774195905431
2023-01-01,35,17,10,0.5882352941176471,0.7511530645330703
2023-02-01,0,38,38,1.0,1.0
2023-02-01,1,38,38,1.0,0.9469183458696685
2023-02-01,2,38,38,1.0,0.9477467681374365
2023-02-01,3,38,38,1.0,0.9477467681374365
2023-02-01,4,38,38,1.0,0.9532775910006436
2023-02-01,5,38,38,1.0,0.9630671011078926
2023-02-01,6,38,38,1.0,0.9726699043243087
2023-02-01,7,38,38,1.0,0.9976777540214683
2023-02-01,8,38,37,0.9736842105263158,0.91914453684258
2023-02-01,9,38,37,0.9736842105263158,0.9185528066513171
2023-02-01,10,38,37,0.9736842105263158,0.8874295687239406
2023-02-01,11,38,37,0.9736842105263158,0.8878437798578246
2023-02-01,12,38,37,0.9736842105263158,0.932339782939542
2023-02-01,13,38,37,0.9736842105263158,0.9348596094833614
2023-02-01,14,38,36,0.9473684210526315,0.9322412455330482
2023-02-01,15,38,36,0.9473684210526315,0.9642868913639846
2023-02-01,16,38,35,0.9210526315789473,0.9689495904038559
2023-02-01,17,38,35,0.9210526315789473,0.9695248836453615
2023-02-01,18,38,35,0.9210526315789473,1.0006724819751986
2023-02-01,19,38,35,0.9210526315789473,1.0237886494854183
2023-02-01,20,38,35,0.9210526315789473,1.0237886494854183
2023-02-01,21,38,34,0.8947368421052632,1.0267634845153397
2023-02-01,22,38,34,0.8947368421052632,1.065798458551281
2023-02-01,23,38,33,0.868421052631579,1.0731475452258459
2023-02-01,24,38,33,0.868421052631579,1.0731475452258459
2023-02-01,25,38,33,0.868421052631579,1.1070979385114783
2023-02-01,26,38,33,0.868421052631579,1.0650516309879492
2023-02-01,27,38,33,0.868421052631579,1.0655841881600858
2023-02-01,28,38,33,0.868421052631579,1.0914411116772729
2023-02-01,29,38,32,0.8421052631578947,1.0873840510169204
2023-02-01,30,38,32,0.8421052631578947,1.0892284453637897
2023-02-01,31,38,32,0.8421052631578947,1.0887790844450402
2023-02-01,32,38,32,0.8421052631578947,1.0949604733504363
2023-02-01,33,38,32,0.8421052631578947,1.0949604733504363
2023-02-01,34,38,32,0.8421052631578947,1.096614704832421
2023-03-01,0,28,28,1.0,1.0
2023-03-01,1,28,28,1.0,0.9982522718763828
2023-03-01,2,28,28,1.0,0.9982522718763828
2023-03-01,3,28,28,1.0,1.0369209693339232
2023-03-01,4,28,28,1.0,1.0369209693339232
2023-03-01,5,28,28,1.0,1.0297788111364488
2023-03-01,6,28,28,1.0,1.0452394829992173
2023-03-01,7,28,28,1.0,1.0515245822129948
2023-03-01,8,28,27,0.9642857142857143,1.0477913022021035
2023-03-01,9,28,27,0.9642857142857143,1.04928461420646
2023-03-01,10,28,27,0.9642857142857143,1.0429827099145705
2023-03-01,11,28,27,0.9642857142857143,1.0398716432388277
2023-03-01,12,28,26,0.9285714285714286,1.0084461471699397
2023-03-01,13,28,26,0.9285714285714286,1.0122272897450735
2023-03-01,14,28,26,0.9285714285714286,1.0183792246690038
2023-03-01,15,28,26,0.9285714285714286,1.0183792246690038
2023-03-01,16,28,25,0.8928571428571429,1.01572444777237
2023-03-01,17,28,24,0.8571428571428571,0.9325137844185017
2023-03-01,18,28,24,0.8571428571428571,0.9342559817569178
2023-03-01,19,28,24,0.8571428571428571,0.9558673122085702
2023-03-01,20,28,24,0.8571428571428571,0.9558673122085702
2023-03-01,21,28,24,0.8571428571428571,0.9598743660869269
2023-03-01,22,28,24,0.8571428571428571,0.9600702835165583
2023-03-01,23,28,24,0.8571428571428571,0.9277434821823628
2023-03-01,24,28,24,0.8571428571428571,0.9556735220040162
2023-03-01,25,28,24,0.8571428571428571,0.9577641588101155
2023-03-01,26,28,24,0.8571428571428571,0.950958102174875
2023-03-01,27,28,23,0.8214285714285714,0.931560574861305
2023-03-01,28,28,23,0.8214285714285714,0.931560574861305
2023-03-01,29,28,23,0.8214285714285714,0.931560574861305
2023-03-01,30,28,23,0.8214285714285714,0.9247968500051054
2023-03-01,31,28,23,0.8214285714285714,0.9247968500051054
2023-03-01,32,28,23,0.8214285714285714,0.9247968500051054
2023-03-01,33,28,23,0.8214285714285714,0.9247968500051054
